"x","y","mean","variance","upper_var","lower_var"
-2.248082000000000136e+00,7.723345999999999378e+00,2.058559993834940816e+00,3.070447667084753807e+00,1.712141429437763662e+01,2.475069626467298334e-01
-2.198082000000000313e+00,7.723345999999999378e+00,2.058559932550712457e+00,3.070447643354119904e+00,1.712141365973041118e+01,2.475069570844022904e-01
-2.148082000000000491e+00,7.723345999999999378e+00,2.058559871325795321e+00,3.070447619691919261e+00,1.712141302593677850e+01,2.475069515239976259e-01
-2.098082000000000669e+00,7.723345999999999378e+00,2.058559810215340846e+00,3.070447596120642331e+00,1.712141239357384137e+01,2.475069459704352104e-01
-2.048082000000000846e+00,7.723345999999999378e+00,2.058559749275680861e+00,3.070447572663171254e+00,1.712141176323059355e+01,2.475069404287463803e-01
-1.998082000000000136e+00,7.723345999999999378e+00,2.058559688564249868e+00,3.070447549342748772e+00,1.712141113550710614e+01,2.475069349040679156e-01
-1.948082000000000313e+00,7.723345999999999378e+00,2.058559628139508213e+00,3.070447526182933373e+00,1.712141051101362166e+01,2.475069294016356003e-01
-1.898082000000000491e+00,7.723345999999999378e+00,2.058559568060851941e+00,3.070447503207564210e+00,1.712140989036965877e+01,2.475069239267764232e-01
-1.848082000000000669e+00,7.723345999999999378e+00,2.058559508388522641e+00,3.070447480440728683e+00,1.712140927420307079e+01,2.475069184849003345e-01
-1.798082000000000846e+00,7.723345999999999378e+00,2.058559449183519963e+00,3.070447457906713584e+00,1.712140866314905807e+01,2.475069130814930574e-01
-2.898082000000000491e+00,7.673346000000002221e+00,2.058560583384770215e+00,3.070447895377431902e+00,1.712142039966826701e+01,2.475070161554791537e-01
-2.848082000000000669e+00,7.673346000000002221e+00,2.058560520765568835e+00,3.070447870615099717e+00,1.712141974848615433e+01,2.475070105111637775e-01
-2.798082000000000846e+00,7.673346000000002221e+00,2.058560457568693547e+00,3.070447845658133446e+00,1.712141909147473484e+01,2.475070048122057498e-01
-2.748082000000000136e+00,7.673346000000002221e+00,2.058560393832250313e+00,3.070447820523004800e+00,1.712141842903766076e+01,2.475069990619331861e-01
-2.698082000000000313e+00,7.673346000000002221e+00,2.058560329596222704e+00,3.070447795226904031e+00,1.712141776159798923e+01,2.475069932638450099e-01
-2.648082000000000491e+00,7.673346000000002221e+00,2.058560264902471904e+00,3.070447769787741699e+00,1.712141708959817521e+01,2.475069874216111743e-01
-2.598082000000000669e+00,7.673346000000002221e+00,2.058560199794711387e+00,3.070447744224130471e+00,1.712141641349979437e+01,2.475069815390710248e-01
-2.548082000000000846e+00,7.673346000000002221e+00,2.058560134318483392e+00,3.070447718555372241e+00,1.712141573378323756e+01,2.475069756202313287e-01
-2.498082000000000136e+00,7.673346000000002221e+00,2.058560068521135378e+00,3.070447692801446138e+00,1.712141505094749050e+01,2.475069696692641652e-01
-2.448082000000000313e+00,7.673346000000002221e+00,2.058560002451787163e+00,3.070447666982984103e+00,1.712141436550970752e+01,2.475069636905049830e-01
-2.398082000000000491e+00,7.673346000000002221e+00,2.058559936161281634e+00,3.070447641121253124e+00,1.712141367800473546e+01,2.475069576884483813e-01
-2.348082000000000669e+00,7.673346000000002221e+00,2.058559869702153655e+00,3.070447615238133032e+00,1.712141298898468733e+01,2.475069516677456949e-01
-2.298082000000000846e+00,7.673346000000002221e+00,2.058559803128573229e+00,3.070447589356099183e+00,1.712141229901845563e+01,2.475069456331992213e-01
-2.248082000000000136e+00,7.673346000000002221e+00,2.058559736496287318e+00,3.070447563498174937e+00,1.712141160869090228e+01,2.475069395897593338e-01
-2.198082000000000313e+00,7.673346000000002221e+00,2.058559669862563446e+00,3.070447537687926332e+00,1.712141091860239683e+01,2.475069335425180705e-01
-2.148082000000000491e+00,7.673346000000002221e+00,2.058559603286128858e+00,3.070447511949417230e+00,1.712141022936807033e+01,2.475069274967049149e-01
-2.098082000000000669e+00,7.673346000000002221e+00,2.058559536827082148e+00,3.070447486307177787e+00,1.712140954161691653e+01,2.475069214576788579e-01
-2.048082000000000846e+00,7.673346000000002221e+00,2.058559470546833747e+00,3.070447460786171590e+00,1.712140885599113105e+01,2.475069154309235131e-01
-1.998082000000000136e+00,7.673346000000002221e+00,2.058559404508010005e+00,3.070447435411758796e+00,1.712140817314509533e+01,2.475069094220384569e-01
-1.948082000000000313e+00,7.673346000000002221e+00,2.058559338774371028e+00,3.070447410209650840e+00,1.712140749374449200e+01,2.475069034367331222e-01
-1.898082000000000491e+00,7.673346000000002221e+00,2.058559273410718315e+00,3.070447385205878899e+00,1.712140681846531365e+01,2.475068974808175004e-01
-1.848082000000000669e+00,7.673346000000002221e+00,2.058559208482795722e+00,3.070447360426743710e+00,1.712140614799285032e+01,2.475068915601946196e-01
-1.798082000000000846e+00,7.673346000000002221e+00,2.058559144057180212e+00,3.070447335898769392e+00,1.712140548302044607e+01,2.475068856808506357e-01
