2684, 3
2685, 3
2686, 4
2687, 3
2688, 3
2689, 3
2690, 3
2691, 3
2692, 3
2693, 4
2694, 4
2695, 3
2696, 3
2697, 4
2698, 3
2699, 2
2700, 3
2701, 3
2702, 3
2703, 4
2704, 4
2705, 3
2706, 4
2707, 3
2708, 3
2709, 2
2710, 3
2711, 3
2712, 3
2713, 4
2714, 4
2715, 3
2716, 3
2717, 4
2718, 3
2719, 3
2720, 3
2721, 2
2722, 3
2723, 3
2724, 3
2725, 5
2726, 3
2727, 3
2728, 4
2729, 5
2730, 5
2731, 4
2732, 3
2733, 5
2734, 4
2735, 5
2736, 4
2737, 5
2738, 4
2739, 5
2740, 5
2741, 5
2742, 6
2743, 4
2744, 6
2745, 5
2746, 6
2747, 6
2748, 5
2749, 5
2750, 6
2751, 5
2752, 6
2753, 7
2754, 5
2755, 4
2756, 7
2757, 6
2758, 4
2759, 4
2760, 6
2761, 7
2762, 7
2763, 8
2764, 8
2765, 7
2766, 8
2767, 9
2768, 12
2769, 10
2770, 10
2771, 9
2772, 9
2773, 11
2774, 9
2775, 11
2776, 12
2777, 9
2778, 7
2779, 11
2780, 10
2781, 8
2782, 9
2783, 9
2784, 11
2785, 8
2786, 9
2787, 9
2788, 9
2789, 10
2790, 9
2791, 8
2792, 9
2793, 10
2794, 10
2795, 10
2796, 11
2797, 11
2798, 13
2799, 14
2800, 13
2801, 17
2802, 23
2803, 29
2804, 37
2805, 44
2806, 59
2807, 64
2808, 70
2809, 70
2810, 66
2811, 64
2812, 48
2813, 40
2814, 34
2815, 27
2816, 29
2817, 27
2818, 22
2819, 20
2820, 21
2821, 18
2822, 14
2823, 19
2824, 16
2825, 13
2826, 14
2827, 13
2828, 15
2829, 13
2830, 14
2831, 14
2832, 13
2833, 16
2834, 12
2835, 13
2836, 12
2837, 14
2838, 13
2839, 14
2840, 13
2841, 15
2842, 15
2843, 15
2844, 14
2845, 14
2846, 14
2847, 14
2848, 12
2849, 14
2850, 14
2851, 14
2852, 14
2853, 14
2854, 15
2855, 18
2856, 19
2857, 20
2858, 23
2859, 21
2860, 22
2861, 22
2862, 21
2863, 17
2864, 17
2865, 19
2866, 20
2867, 16
2868, 15
2869, 17
2870, 21
2871, 21
2872, 20
2873, 16
2874, 18
2875, 16
2876, 19
2877, 21
2878, 20
2879, 17
2880, 19
2881, 22
2882, 20
2883, 19
2884, 22
2885, 19
2886, 5
2887, 6
2888, 10
2889, 11
2890, 9
2891, 12
2892, 10
2893, 9
2894, 7
2895, 17
2896, 18
2897, 21
2898, 16
2899, 14
2900, 26
2901, 19
2902, 8
2903, 22
2904, 21
2905, 22
2906, 25
2907, 21
2908, 26
2909, 25
2910, 25
2911, 26
2912, 23
2913, 25
2914, 21
2915, 19
2916, 23
2917, 20
2918, 19
2919, 19
2920, 18
2921, 24
2922, 27
2923, 31
2924, 44
2925, 51
2926, 62
2927, 67
2928, 74
2929, 81
2930, 109
2931, 147
2932, 166
2933, 154
2934, 144
2935, 157
2936, 145
2937, 141
2938, 139
2939, 137
2940, 140
2941, 155
2942, 159
2943, 150
2944, 154
2945, 159
2946, 160
2947, 155
2948, 161
2949, 164
2950, 133
2951, 127
2952, 141
2953, 154
2954, 170
2955, 175
2956, 175
2957, 166
2958, 153
2959, 135
2960, 126
2961, 138
2962, 160
2963, 171
2964, 174
2965, 169
2966, 160
2967, 157
2968, 153
2969, 148
2970, 138
2971, 142
2972, 152
2973, 165
2974, 161
2975, 162
2976, 157
2977, 137
2978, 140
2979, 133
2980, 132
2981, 121
2982, 140
2983, 143
2984, 151
2985, 160
2986, 134
2987, 140
2988, 144
2989, 156
2990, 160
2991, 155
2992, 139
2993, 135
2994, 143
2995, 145
2996, 95
2997, 107
2998, 52
2999, 17
3000, 7
3001, 5
3002, 5
3003, 4
3004, 4
3005, 3
3006, 4
3007, 4
3008, 4
3009, 4
3010, 4
3011, 3
3012, 2
3013, 4
3014, 4
3015, 3
3016, 3
3017, 3
3018, 2
3019, 3
3020, 2
3021, 3
3022, 4
3023, 3
3024, 2
3025, 3
3026, 3
3027, 2
3028, 3
3029, 3
3030, 2
3031, 3
3032, 3
3033, 3
