"timestamp","x","y","z","counts"
2749, 1.328527560821876, -0.2248470894932404, 1.502807863103483, 5
2750, 1.4358647351376557, -0.1662671645842687, 1.4678709489975883, 6
2751, 1.5521554895060783, -0.19385296332700624, 1.4676568895122875, 5
2752, 1.6742636189684355, -0.23179867950354802, 1.4711440558784814, 6
2753, 1.8006814471176995, -0.2710836562510266, 1.4747542987046587, 7
2754, 1.9184798778931498, -0.30769011185663164, 1.4781183886108695, 5
2755, 2.040588007355507, -0.3456358280331734, 1.4816055549770635, 4
2756, 2.1612595705888955, -0.3831351240194029, 1.4850516958565962, 7
2757, 2.2790580013643456, -0.4197415796250079, 1.488415785762807, 6
2758, 2.4011661308267027, -0.45768729580154976, 1.491902952129001, 4
2759, 2.5204011278311222, -0.49474017159746697, 1.4953080675218728, 4
2760, 2.641072691064511, -0.5322394675836966, 1.4987542084014056, 6
2761, 2.7631808205268675, -0.5701851837602383, 1.5022413747675996, 7
2762, 2.880979251302318, -0.6067916393658433, 1.5056054646738104, 7
2763, 3.001650814535706, -0.6442909353520728, 1.5090516055533432, 8
2764, 3.1266320764560014, -0.6831294919092392, 1.5126208228928595, 8
2765, 3.2487402059183585, -0.7210752080857811, 1.5161079892590534, 7
2788, 3.2128502064562134, -0.7353417161882356, 1.3091612994261743, 9
2789, 3.207854334038359, -0.7415949021383094, 1.3195775308397832, 10
2790, 3.2710211450802733, -0.7070723928436674, 1.333376255545837, 9
2791, 3.3813360309414238, -0.641080769003259, 1.3388505024877488, 8
2792, 3.489076166862227, -0.5766293899649929, 1.3441969804810092, 9
2793, 3.5965589821813557, -0.5123319430476683, 1.349530689240944, 10
2794, 3.7046850990046694, -0.4476496658279898, 1.354896321084192, 10
2795, 3.811781933421288, -0.38358311709207776, 1.3602108759941391, 10
2796, 3.922815773043515, -0.31716140690575856, 1.3657208001739618, 11
2797, 4.027468061744233, -0.2545572133187922, 1.3709140473673194, 11
2798, 4.135272527815454, -0.19006735125029062, 1.376263717668911, 13
2799, 4.2394456855558555, -0.1277497792725176, 1.3814331885498172, 14
2800, 4.347477108397753, -0.06312414907334551, 1.3867941213152015, 13
2801, 4.4555085312396505, 0.0015014811258265495, 1.3921550540805856, 17
2802, 4.5650622627610495, 0.06703777375248936, 1.3975915296303218, 23
2803, 4.676816600067964, 0.13389049387744512, 1.4031372076634552, 29
2804, 4.78346106486684, 0.19768642994474175, 1.4084293142612165, 37
2805, 4.887764130523116, 0.2600817143205418, 1.4136052316702197, 44
2806, 4.943626181224697, 0.18879591049382827, 1.4325715714821372, 59
2807, 4.977486058044007, 0.07260808694999442, 1.4553552607973883, 64
2808, 5.012334022786175, -0.0469702919062346, 1.4788038163308677, 70
2809, 5.047437797830736, -0.1674264661080812, 1.5024245019191746, 70
2810, 5.080966111490364, -0.2824765536200791, 1.5249850884730392, 66
2811, 5.116283776955506, -0.40366667799477757, 1.548749696997512, 64
2812, 5.15121426115006, -0.5235282166399154, 1.5722537783551291, 48
2813, 5.186986443758939, -0.6462779851319242, 1.5963242231189545, 40
2814, 5.221605499540191, -0.76507087873372, 1.6196187500162749, 34
2815, 5.255012509604813, -0.8797047213560217, 1.6420977136086565, 27
2816, 5.2908536784758855, -1.0026912114315583, 1.6662145779614608, 29
2817, 5.3247135552951965, -1.118879034975392, 1.6889982672767117, 27
2818, 5.410520569709916, -1.1922171138357567, 1.6674752839818987, 22
2819, 5.5128471676580215, -1.2473513584469174, 1.6302215751073792, 20
2820, 5.6233105794188685, -1.3068697719066764, 1.5900055231175365, 21
2821, 5.72613031759805, -1.3622697237207826, 1.552572278296634, 18
2822, 5.8293878435333895, -1.4179055584599523, 1.5149796495233296, 14
2823, 5.938457379334973, -1.4766729423766924, 1.4752710613819375, 19
2824, 6.042972916063872, -1.532986601613172, 1.437220432745411, 16
2844, 6.228105426387552, -1.5956937457795408, 1.050167371429613, 14
2845, 6.190966003316883, -1.6338183104665642, 1.013224093371667, 14
2846, 6.240215238847611, -1.540598276082813, 1.0256706010614265, 14
2847, 6.301767687897371, -1.4307877339422925, 1.0469627456642512, 14
2848, 6.361138099001587, -1.3248699819908003, 1.0675000824863516, 12
2849, 6.421813042664098, -1.2166249233329458, 1.0884886815457657, 14
2850, 6.48053697512252, -1.1118604995052361, 1.1088023892999515, 14
2851, 6.54326045161116, -0.9999608259018768, 1.1304996142196018, 14
2852, 6.605028968596165, -0.8897648151492262, 1.1518665007667732, 14
2853, 6.663874730736718, -0.7847830452426837, 1.1722223516890844, 14
2854, 6.723372759156419, -0.6786376219829603, 1.1928038337300524, 15
2855, 6.783823432026411, -0.5707926659642875, 1.2137148533232025, 18
2856, 6.8455876082864, -0.46060439913368545, 1.235080238332317, 19
